movie_id|poster_image|name|born
415606|http://image.tmdb.org/t/p/w300/mYpqFeHOKTPXLbZRKQjW1xECycl.jpg|Marc Forster|1969
415607|http://image.tmdb.org/t/p/w300/j5Le3QQljdGJ3kPAcjAZr9V4QUC.jpg|Drew Goddard|1975
415612|http://image.tmdb.org/t/p/w300/uBVONfPHpc2ZYxGpPi99CauRnhr.jpg|Paul Walker|1973
415613|http://image.tmdb.org/t/p/w300/qwyfzMKIhxJ7ols66FgEf7eGdcI.jpg|Vin Diesel|1967
415614|http://image.tmdb.org/t/p/w300/n432vxKiMpgdCmOjq7UX6Gatisa.jpg|Dwayne Johnson|1972
415615|http://image.tmdb.org/t/p/w300/hAz5828eC1izB9c78jBfEDTG4aK.jpg|Jordana Brewster|1980
415566||Mark Fergus|
415568|http://image.tmdb.org/t/p/w300/yz0s4kVEC7Wc4iqi2zK7Gmfx9h9.jpg|Jennifer Lawrence|1990
415569|http://image.tmdb.org/t/p/w300/AsqVQEXJnVhrneNrmW5uCG04S2q.jpg|Josh Hutcherson|1992
415570|http://image.tmdb.org/t/p/w300/eVeBiqx1vTsd1QCHOr24Cf13wb.jpg|Liam Hemsworth|1990
415571|http://image.tmdb.org/t/p/w300/omGlTJF2IW5r3L3c5y0qkCt3hFr.jpg|Stanley Tucci|1960
415572|http://image.tmdb.org/t/p/w300/yF4OpUbI9XMNRQhKvcqNobXZF9i.jpg|Elizabeth Banks|1974
415573|http://image.tmdb.org/t/p/w300/9qm3h0sYJhEIKrhC8DrILQ2THU2.jpg|Woody Harrelson|1961
415574|http://image.tmdb.org/t/p/w300/zQMEswmsafMRXjydPAKQRfvS9YT.jpg|Wes Bentley|1978
415575|http://image.tmdb.org/t/p/w300/zbsIVoRHTw3VmQ18O7xUaSfIQBE.jpg|Amandla Stenberg|1998
415576|http://image.tmdb.org/t/p/w300/txj58EEAHnTqmGDEAB8wSfIofaY.jpg|Lenny Kravitz|1964
415577|http://image.tmdb.org/t/p/w300/jxkqn9udxRJCN4A0mGcKoWLHlOY.jpg|Alexander Ludwig|1992
415578|http://image.tmdb.org/t/p/w300/bZslEz0bSkA7lxVZfK4zMoNny7I.jpg|Isabelle Fuhrman|1997
415579|http://image.tmdb.org/t/p/w300/tPLVaPjxEscGPKS3ieByloa8Mqj.jpg|Donald Sutherland|1935
415580|http://image.tmdb.org/t/p/w300/5jdHzpHDYXmMdNoCtXSf4axrqb7.jpg|Leven Rambin|1990
415581|http://image.tmdb.org/t/p/w300/xdxsCTSOATrUmXsGUloTOtjIO1J.jpg|Nelson Ascencio|1964
415582|http://image.tmdb.org/t/p/w300/dMoUDOJHsGrQcxKpFgbuMWRwiyI.jpg|Gary Ross|1956
415616|http://image.tmdb.org/t/p/w300/v37VK0MNuRuJOCKPKJcZAJXRA5r.jpg|Michelle Rodriguez|1978
415617|http://image.tmdb.org/t/p/w300/8AaJIsIb7yJcfwcgbD7qsT6ameq.jpg|Tyrese Gibson|1978
415618|http://image.tmdb.org/t/p/w300/iBuwoRzrFNbotnX5QNW7cepuld9.jpg|Gal Gadot|1985
415619|http://image.tmdb.org/t/p/w300/fqt53KEfHWsRDcbV2YAY2lKlKrM.jpg|Sung Kang|1972
415620|http://image.tmdb.org/t/p/w300/xLfq9wFO6dtYuUK96hbJ8I8EKFw.jpg|Ludacris|1977
415621|http://image.tmdb.org/t/p/w300/swPvtfYg50Mt21X48KhtB91oQzK.jpg|Thure Lindhardt|1974
415622|http://image.tmdb.org/t/p/w300/c1km2kqasJT9GTISMbBZpp3jbuR.jpg|Elsa Pataky|1976
415623|http://image.tmdb.org/t/p/w300/kwCXrQcaA5YILvFYxcemkmLjFuR.jpg|Johannes Taslim|1981
415624|http://image.tmdb.org/t/p/w300/dtEMSAQ5K8Kr3VwSr6TE4NwaQrN.jpg|Shea Whigham|1969
415625|http://image.tmdb.org/t/p/w300/oHkU7zUqB05N9BOpGAEHlYjCBmc.jpg|John Ortiz|1968
415626|http://image.tmdb.org/t/p/w300/rGmvQUrjFmhONxhSidO2nSIBbog.jpg|Gina Carano|1982
415627|http://image.tmdb.org/t/p/w300/cNcsEYmoS4niCz3UkVAA09dUIob.jpg|Neal H. Moritz|1959
415629|http://image.tmdb.org/t/p/w300/c01G88eCpiLLmT4RIWGkr7nm31o.jpg|Jesse Eisenberg|1983
415630|http://image.tmdb.org/t/p/w300/oGJQhOpT8S1M56tvSsbEBePV5O1.jpg|Morgan Freeman|1937
415631|http://image.tmdb.org/t/p/w300/isQ747u0MU8U9gdsNlPngjABclH.jpg|Mark Ruffalo|1967
415632|http://image.tmdb.org/t/p/w300/jFUESHnMbfqfTeh3c7chd8FqtVz.jpg|Isla Fisher|1976
415633|http://image.tmdb.org/t/p/w300/n10Yr6LtckIcgw3EdPxkVjwkBYS.jpg|Mélanie Laurent|1983
415634|http://image.tmdb.org/t/p/w300/nlIjMLp9zvvYM2eFm77UhI7s1nW.jpg|Michael Caine|1933
415635|http://image.tmdb.org/t/p/w300/51Y8EYKaoY3Tz6U5NAGhklVo16m.jpg|Dave Franco|1985
415636|http://image.tmdb.org/t/p/w300/3nwyef0DUs6ZZvz52aiTpSjQEdb.jpg|Common|1972
